Designation,M?,2MASS Number,RA,DEC,DIST,+/-,SPEC,V,r,R,i,I,J,H,Ks,K,W1,W2,W3,Teff K,RAD Rj,MASS Mj,a AU,PER yr,DISC PUBL,STAT,PM?,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
V2247 Oph c,x,J16271951-2441403,246.83125,-24.694444444444446,125.0,,M9,,,,,,,,,,,,,3490,,14.0,1083.0,,2011.0,,,246.83123403605,-24.69467246623,0.001121,4.654E-4,107.94,6049072007438134272,246.83123403605,1.0761,-24.69467246623,0.5614,,,,,,,,,354,634.8215,1720169.0,7.121,59740.0,3,,,15,,false,245937.0,1107.27,12.210308,58821.6,560.969,13.414701,302729.0,11.045261,1.47,2.369439,-12.14,2.78,19,4000.0,3.0,,,,,0.005611,0.010724,0.007134,12.210308,0.005611,245937.0,0.083,1.0761,0.5614,-0.5044,0.822537
2MASSI J0544115-243301,,I J0544115-243301,86.04791666666667,-24.550555555555555,16.4,1.1,M9,,,,,,12.53,,11.46,,,,,,,,,,,UNCON,,86.04801301054,-24.55069934266,0.001388,0.0011086,17.57,2915187925218983296,86.04890883953,0.0533,-24.55371240026,0.0704,48.6459,0.0831,585.4567,702.291,183.339,0.071,-677.937,0.084,495,-1.6038,1329.76,0.682,22.23,95,1.072,0.0169,30,0.948,false,3141.01,3.1829,16.944693,100.6,6.66423,20.332048,5589.29,15.379503,1.811,4.952545,,,0,,,78530860485597162,,23363628,,0.002967,0.071979,0.004441,16.919102,0.002957,3215.93,0.058,1.1369,1.3649,0.1294,0.606196
2MASS J00412179+3547133,,J00412179+3547133,10.340833333333334,35.786944444444444,88.0,?,M9,,,,,,15.94,15.73,15.17,,14.74,14.45,,,,,,,2004.0,,,10.34087895088,35.78705356122,0.0174209,0.0128538,44.87,365582359196918656,10.34022978676,0.8162,35.78680038559,0.6509,9.2675,1.129,8.2085,131.467,-118.485,0.95,-56.965,0.943,265,3.3005,356.82,3.645,3.767,95,0.8052,0.217,16,1.147,false,95.381,0.659428,20.738712,30.1499,8.37797,21.640326,191.654,19.041601,2.325,2.598724,,,0,,,150940103404514891,1237673073132963337,,,0.007996,0.301714,0.047747,20.719355,0.007872,97.0967,0.904,15.2984,15.3188,0.295,0.414795
2MASS J13265348-5022270,,J13265348-5022270,201.72291666666666,-50.37416666666667,45.1,7.77,M9,,,20.3,,17.97,14.72,13.98,13.4,,,,,,,,,,2012.0,UNCON,,201.72289102092,-50.37417680752,0.0066403,0.0053731,106.05,6082173767071772928,201.72263510537,0.2125,-50.37427923362,0.246,9.8017,0.3778,25.9457,43.356,-36.724,0.41,-23.046,0.338,294,0.1722,386.85,1.118,2.807,95,0.9161,0.074,17,1.006,false,358.551,2.19562,19.300991,33.494,6.08612,21.526125,670.511,17.68188,1.963,3.844244,,,0,,,,,320581405,,0.007197,0.197306,0.031902,19.2754,0.007054,367.102,0.363,6.5522,5.4803,-0.1126,0.069281
DENIS-P J1519016-741613,,,229.75666666666666,-74.27027777777778,,,M9,,,,,,,,,,,,,,,,,,,,,229.75746098527,-74.27041198914,0.0029233,0.0026819,170.55,5792730526510790144,229.76161476456,0.1321,-74.26994095235,0.1314,40.3707,0.1644,245.6066,274.645,253.368,0.165,105.992,0.182,427,13.7466,1568.47,1.545,34.62,95,1.0945,0.0388,27,1.508,false,1236.78,1.57254,17.956635,37.8311,4.2524,21.39392,2283.89,16.351206,1.877,5.042715,,,0,,,,,406180144,,0.003082,0.122074,0.005489,17.931044,0.003068,1266.28,0.111,2.6887,2.9171,-0.028,0.91346
2MASS J09474621-3810043,,J09474621-3810043,146.9425,-38.16777777777777,37.56,12.4,M9,,,,,,14.38,13.67,13.22,,,,,,,,,,2012.0,UNCON,,146.94253280345,-38.1678443618,0.0028249,0.0022896,43.41,5432319479735396864,146.94172916976,0.1128,-38.16807295809,0.1367,21.3959,0.1815,117.8838,151.178,-142.159,0.159,-51.434,0.159,566,1.7627,903.08,1.064,7.694,95,1.0484,0.0374,29,1.053,false,619.824,0.943494,18.706696,36.7415,4.63674,21.425652,1104.27,17.140211,1.841,4.28544,,,0,,,,,79216681,,0.003213,0.137047,0.007515,18.681105,0.003193,634.607,0.181,2.5564,2.5859,0.2067,0.257055
LHS 1070 C,x,J00244419-2708242,6.184166666666667,-27.14,7.72,0.15,M9,,,,,,,,,,,,,,,74.0,3.53,17.24,,,,6.18407287862,-27.14035089795,0.0020464,0.0015156,40.62,2322561156529549440,6.18360970657,0.1002,-27.13725776002,0.0844,129.3167,0.1256,1029.7229,702.108,-92.739,0.111,695.956,0.117,232,5.9362,13975.26,0.827,596.8,95,1.1401,0.0252,17,1.29,false,102672.0,85.2973,13.158741,8205.34,31.7736,15.5533,183826.0,11.586876,1.87,3.966424,,,0,,,75430061835645355,,9789746,,0.002899,0.005046,0.008689,13.142576,0.002895,104212.0,0.255,1.7603,1.8403,0.2885,1.298473
2MASS J00194579+5213179,,J00194579+5213179,4.940833333333333,52.22166666666667,18.7,1.2,M9,,,,,,12.79,12.07,11.62,,,,,,,,,,2003.0,UNCON,,4.94098470956,52.22154991871,0.0019953,9.355E-4,145.02,419121948343397888,4.94323571351,0.0647,52.22031059257,0.0756,50.3069,0.1169,430.5112,417.167,310.272,0.084,-278.853,0.106,831,10.0788,2249.04,0.829,27.9,95,1.1415,0.0152,25,1.258,false,2156.15,2.04822,17.353167,95.0081,7.61013,20.39414,3891.74,15.772535,1.849,4.621605,,,0,,,170660049423685660,,,712011174,0.002942,0.087012,0.004687,17.327576,0.002934,2207.58,0.142,1.377,1.7206,-0.6159,0.536747
2MASS J12245222-1238352,,J12245222-1238352,186.2175,-12.643055555555556,17.1,1.1,M9,,,,,,12.56,11.83,11.37,,,,,,,,,,2003.0,,,186.2174421298,-12.64325135727,0.0023143,0.0017675,103.1,3576327737332306688,186.21605414269,0.1062,-12.64409222977,0.084,57.9715,0.1233,470.262,358.681,-304.724,0.143,-189.196,0.111,246,-0.571,588.97,0.695,13.29,95,1.0781,0.0278,16,0.973,false,2689.18,3.86442,17.113316,114.178,18.4355,20.19459,4823.66,15.539454,1.836,4.655135,,,0,,,92821862164097645,,105993047,,0.003166,0.175329,0.005284,17.087725,0.003149,2753.32,0.124,2.2894,1.7996,-0.1196,0.733613
SDSS 1723287+6406233,,J17232861+6406230,260.8691666666667,64.10638888888889,,,M9,,22.69,,19.89,19.1,16.32,15.66,15.12,,,,,,,,,,,,,260.86935547034,64.10647740325,0.0276973,0.0181078,78.7,1632589121583234304,260.86937566034,0.8997,64.10679509335,0.8588,7.6507,0.8695,8.7994,71.508,1.984,1.714,71.48,1.162,182,4.098,292.03,3.723,3.32,95,1.0203,0.2637,16,1.224,false,113.985,1.03982,20.54525,28.8455,10.554,21.688349,217.859,18.902456,2.164,2.785893,,,0,,,184922608693918836,1237671939805086931,,,0.010281,0.397259,0.062053,20.522818,0.010086,116.364,0.715,27.3909,18.5679,0.166,0.43548
TVLM 868-110639,,,227.57041666666666,-2.6855555555555557,16.34,1.25,M9,,19.27,,16.38,,12.61,11.84,11.35,11.34,10.94,10.67,10.17,2377,1.08,79.0,,,,UNCON,,227.57010210466,-2.68557943959,0.0082052,0.0068026,111.39,6336552379219937920,227.56838719029,0.4332,-2.68542634465,0.3761,55.811,0.5017,111.2494,386.968,-385.432,0.498,34.447,0.44,184,44.8117,5760.84,3.388,237.2,31,,,14,4.138,false,2445.96,4.80314,17.216242,94.1912,9.53679,20.403517,4322.7,15.658508,1.806,4.745009,,,0,,,104772275690567738,1237655497601122662,169184366,437134912,0.003484,0.109965,0.006846,17.216242,0.003484,2445.96,0.081,8.0328,7.0054,-0.127,1.134443
2MASS J00413538-5621127 B,x,J00413538-5621127,10.3975,-56.353611111111114,50.0,16,M9,,,,,,13.22,12.53,12.01,,,,,,,15.0,8.9,126.0,,,,10.39744264532,-56.35357562837,0.0118887,0.0093575,159.81,4920330653311504256,10.39834693522,0.4966,-56.35383860989,0.5234,27.2159,0.7074,38.4757,127.318,112.733,0.601,-59.17,0.724,421,157.3709,100655.02,7.254,3475.0,31,,,29,9.984,false,4958.59,31.6222,16.44897,265.61,9.18289,19.27793,10095.2,14.737609,2.089,4.54032,,,0,,,,,503231958,,0.007452,0.03764,0.004812,16.44897,0.007452,4958.59,0.394,9.6938,11.6161,-0.1547,0.171478
2MASS J11345493+0022541,,J11345493+0022541,173.72875,0.38166666666666665,19.0,1.3,M9,,,,,,12.85,,11.67,,,,,,,,,,,UNCON,,173.72889430932,0.38169963574,0.0020752,0.0012928,106.03,3797370909280252160,173.73064247611,0.098,0.38023664654,0.0774,40.9079,0.106,386.0337,512.896,393.329,0.125,-329.173,0.084,213,-2.6259,279.14,0.292,1.812,31,,,15,0.873,false,2293.69,2.87276,17.286028,110.64,10.6515,20.228765,3972.36,15.750273,1.78,4.478493,,,0,,,108451737299927344,1237648721764876455,111738192,452116928,0.003073,0.104563,0.007122,17.286028,0.003073,2293.69,0.093,2.0262,1.3684,-0.2523,0.532888
CFHT-Tau 1,,J04341527+2250309,68.56375,22.841944444444444,140.0,,M9,,,,,,13.74,,,11.87,,,,,,,,,,,,68.56365126926,22.84188730236,0.0069581,0.0052765,75.9,145203704587705088,68.56370464481,0.3402,22.84181251152,0.2254,6.139,0.384,15.9852,20.141,11.068,0.425,-16.828,0.336,299,6.8544,563.67,1.948,9.103,95,1.1987,0.0751,16,1.295,false,426.408,1.28709,19.112803,33.9225,5.33618,21.512321,782.972,17.51353,1.916,3.998791,,,0,,,135410685636170811,,,,0.004282,0.170814,0.01613,19.087212,0.004223,436.578,0.296,6.8698,5.3909,0.1312,0.386796
2MASS J17343053-1151388,,J17343053-1151388,263.62708333333336,-11.860833333333334,21.3,1.4,M9,,,19.45,,17.05,13.11,12.37,11.88,,,,,,,,,,2010.0,UNCON,,263.62723642342,-11.86084254888,0.0031242,0.0017139,66.12,4162703606326651392,263.62778322443,0.138,-11.86249939469,0.1071,48.3891,0.1585,305.2189,391.752,120.403,0.18,-372.79,0.121,401,-0.0344,758.36,0.758,10.55,95,1.0745,0.0263,20,0.998,false,1579.63,2.03652,17.690979,50.5024,5.72322,21.080263,2859.2,16.107285,1.842,4.972979,,,0,,,93762636276286098,,197470241,,0.00309,0.123073,0.0045,17.665388,0.003076,1617.3,0.086,2.9399,2.0138,0.4266,0.540377
Oph 11 A,x,J16222521-2405139,245.605,-24.08722222222222,125.0,25,M9,,,,,17.78,14.53,14.01,,13.55,,,,,,18.0,,,,,,245.6050363203,-24.08711591278,0.0055164,0.0037846,91.89,6049407594709184256,245.60495850009,0.2608,-24.08722527724,0.1443,7.5963,0.2891,26.2768,29.343,-15.985,0.344,-24.607,0.238,388,2.0593,546.45,0.952,3.272,95,1.1403,0.0514,17,1.075,false,516.248,1.39923,18.905222,42.9152,5.50684,21.257013,1010.14,17.236946,2.04,4.020067,,,0,,,79092456050145690,,170764396,,0.004031,0.139349,0.022055,18.879631,0.003982,528.56,0.417,5.5148,3.7869,-0.0254,0.400897
Oph 11 A,x,J16222521-2405139,245.605,-24.08722222222222,125.0,25,M9,,,,,17.78,14.53,14.01,,13.55,,,,,,18.0,,,,,,245.60505785927,-24.08765778495,0.0160825,0.0107582,87.71,6049407594707216768,245.60498028824,0.7521,-24.08776554161,0.3951,7.4979,0.8075,9.2849,29.012,-15.934,1.006,-24.245,0.677,350,2.3883,460.27,2.401,4.367,95,1.1434,0.1414,15,1.091,false,150.923,0.877533,20.240482,,,,,,,,,,0,,,79092456050365181,,,,0.006888,,,20.240482,0.006888,150.923,,16.0754,10.7688,0.0329,1.579514
WISE J113839.14-183910.8,,,174.66291666666666,-18.653055555555554,91.3,15.4,M9,,,,,,16.29,15.67,,15.13,14.86,14.4,>12.48,,,,,,2015.0,,,174.66293867451,-18.6528650503,0.0052721,0.0014983,155.58,3546652468254145152,174.66293867451,2.5713,-18.6528650503,4.8403,,,,,,,,,86,2.8375,121.87,4.668,2.197,3,,,7,,false,73.8591,1.12788,21.016356,18.9676,5.20487,22.143513,133.257,19.436174,2.061,2.707338,,,0,,,85611746630526759,,,,0.016807,0.297948,0.108395,21.016356,0.016807,73.8591,0.624,2.5713,4.8403,-0.7728,0.689915
DENIS-P J013035.5-444541 A,x,J01303563-4445411,22.648333333333333,-44.76138888888889,40.0,14,M9,,,,,17.18,14.12,13.48,12.99,12.99,,,,2400,,86.0,,,2011.0,,,22.64849021191,-44.76144425337,0.0033572,0.0024346,138.08,4934682372428878208,22.64922336553,0.1393,-44.76156871857,0.1638,29.0484,0.2297,126.4587,120.43,117.129,0.18,-28.004,0.188,463,1.1545,752.98,1.235,7.546,95,1.0214,0.0408,28,1.038,false,618.826,1.14956,18.708447,41.2986,7.16086,21.298704,1147.75,17.098274,1.921,4.20043,,,0,,,,,504169499,,0.003415,0.188279,0.006804,18.682856,0.003387,633.584,0.274,2.8832,2.9808,-0.3091,0.447808
2MASS J04354526+2737130,,J04354526+2737130,68.93875,27.62027777777778,140.0,,M9,,,,,,15.02,14.24,,13.71,,,,,,,,,,,,68.93864481674,27.62031250075,0.0136293,0.0090168,56.93,151870352825256576,68.93871360602,0.6649,27.62019614886,0.3815,7.6748,0.7299,10.5143,29.554,13.714,0.77,-26.179,0.662,248,5.3281,397.03,2.317,3.978,95,1.3797,0.1314,15,1.25,false,184.734,1.01871,20.020998,49.0145,7.39779,21.112732,351.857,18.38198,2.17,2.730751,,,0,,,141140689386504891,,,,0.006591,0.163895,0.029592,19.999447,0.006484,188.438,0.729,12.4363,10.6019,0.3623,0.358038
DENIS-P J2345390+005514,,J23453903+0055137,356.4125,0.9205555555555556,26.0,2,M9,,20.93,,18.04,16.9,13.77,13.12,12.58,12.58,,,,,,,,,2008.0,,,356.41263160704,0.92048067815,0.0046037,0.0026223,54.52,2643353084205753728,356.41304551051,0.1903,0.92021879998,0.1629,19.9182,0.2086,95.4941,110.193,93.116,0.25,-58.923,0.212,248,1.1146,376.64,0.948,5.268,95,1.1012,0.041,15,1.05,false,782.26,1.62611,18.453989,52.5062,10.3819,21.038015,1462.28,16.83532,1.936,4.202696,,,0,,,109103564128084873,1237663278463058160,16523319,,0.003562,0.214698,0.008014,18.428398,0.003529,800.917,0.288,4.0462,3.4203,0.4889,0.545047
LP 647-13,,J01095117-0343264,17.463333333333335,-3.723888888888889,9.6,0.2,M9,19.5,,,,14.77,11.69,10.93,10.43,,,,,,,,,,1995.0,UNCON,,17.46334209803,-3.72399722301,0.0045118,0.0019334,68.18,2531195858721613056,17.46499967825,0.1751,-3.72395877144,0.1205,94.6225,0.2026,466.9483,372.269,372.168,0.265,8.652,0.156,307,7.8116,3741.85,1.367,105.8,95,0.8761,0.0311,15,1.333,false,5307.99,7.14809,16.375042,188.056,7.88005,19.652822,9514.53,14.801928,1.828,4.850895,,,0,,,103530174643471792,1237679255737794784,13855967,,0.003119,0.045581,0.004521,16.349451,0.003103,5434.58,0.089,4.2497,2.4565,0.5494,0.391272
2MASS J15570870-3526375,,J15570870-3526375,239.28625,-35.443888888888885,49.27,16.49,M9,,,,,,15.0,14.24,13.8,,,,,,,,,,2012.0,UNCON,,239.28633191558,-35.44374738951,0.005785,0.0039816,90.95,6011751902730876928,239.28561467278,0.2756,-35.44442726193,0.1762,16.8147,0.3407,49.3525,201.706,-131.474,0.361,-152.971,0.253,411,2.606,574.77,1.242,4.098,95,1.1197,0.054,18,1.092,false,362.556,0.93534,19.28893,41.246,6.27938,21.300087,645.983,17.722342,1.896,3.577745,,,0,,,,,116787129,,0.003929,0.165318,0.007549,19.263339,0.003883,371.203,0.331,5.7845,3.9822,-0.0127,0.563209
2MASS J09451445-7753150,,J09451445-7753150,146.31041666666667,-77.8875,,,M9,,,,,,13.89,,,,,,,2600,1.84,38.0,,,,,,146.31033784679,-77.88755117105,0.0031103,0.0024338,112.32,5203361404618057984,146.30928435571,0.1435,-77.88723531138,0.1382,15.4042,0.1482,103.9411,86.744,-49.737,0.186,71.069,0.157,344,-1.8601,534.57,0.99,6.687,95,0.9877,0.0405,28,0.928,false,823.639,1.74848,18.398026,43.8016,5.73775,21.234816,1511.82,16.799145,1.889,4.435671,,,0,,,,,460681047,,0.003592,0.142252,0.006993,18.372435,0.003558,843.282,0.208,3.0221,2.5426,-0.1715,0.193599
2MASS J23473680+2702068,,J23473680+2702068,356.9033333333333,27.03527777777778,22.1,1.5,M9,,,,,,13.19,12.45,12.0,,,,,,,,,,2000.0,,,356.90354153567,27.03525400145,0.0022898,0.0017052,93.53,2865029029391974400,356.90511311002,0.1001,27.03532155531,0.0971,46.7587,0.1503,311.0783,315.331,314.965,0.143,15.198,0.109,349,-3.132,608.04,0.741,7.971,95,1.0156,0.0308,17,0.882,false,1345.31,2.15156,17.865309,65.6514,6.36593,20.795433,2445.16,16.277126,1.866,4.518307,,,0,,,140443569045772952,1237680276332413153,,586604539,0.003257,0.105316,0.005725,17.839718,0.003235,1377.4,0.174,2.2879,1.7078,-0.0368,0.67309
2MASS J16272794+8105075,,J16272794+8105075,246.86625,81.08555555555554,20.7,1.4,M9,,,,,16.8,13.04,12.33,11.87,,,,,,,,,,2003.0,,,246.86614516929,81.08552601118,0.0022931,0.0020165,137.07,1710380123298255232,246.85927559186,0.1074,81.08702664463,0.1133,49.1743,0.1144,430.0284,413.957,-239.515,0.133,337.628,0.134,348,3.726,929.71,1.046,18.87,95,1.0608,0.0293,26,1.145,false,1651.92,2.5847,17.642397,77.491,11.7453,20.615414,2978.2,16.063013,1.85,4.552401,,,0,,,205302468597235105,1237656564889944504,,856032497,0.003237,0.164589,0.005451,17.616806,0.003216,1691.31,0.152,2.1493,2.1692,-0.1275,0.121377
2MASS J08105865+1420390,,J08105865+1420390,122.74458333333334,14.344166666666668,17.8,1.2,M9,19.6,,,,,12.71,12.05,11.61,,,,,,,,,,2003.0,,,122.74436568125,14.34410475955,0.0021807,0.0014125,107.97,653799751664331520,122.74417096995,0.1106,14.34353627178,0.0801,41.9518,0.1295,324.0122,134.768,-42.444,0.132,-127.91,0.096,314,5.5349,922.84,0.817,20.53,95,1.132,0.026,19,1.23,false,2642.91,3.60697,17.13216,88.928,8.32949,20.465946,4692.87,15.569299,1.809,4.896648,,,0,,,125211227442533001,1237667210503586318,,522145816,0.003128,0.101734,0.004542,17.106569,0.003112,2705.94,0.064,2.1196,1.5026,-0.2543,0.791159
2MASS J04574903+3015195,,J04574903+3015195,74.45416666666667,30.255555555555556,142.5,,M9,,,,,,15.77,15.12,,14.48,,,,2200,,,,,,,,74.45424651799,30.25531447558,0.0026719,6.234E-4,106.65,156930339697581440,74.45424651799,2.5661,30.25531447558,0.971,,,,,,,,,199,2.6087,249.27,2.347,1.464,3,,,11,,false,89.4281,0.851624,20.808681,38.3513,7.24606,21.379093,165.436,19.20132,2.279,2.177773,,,0,,,144300744543056949,,,,0.0107,0.205157,0.058912,20.808681,0.0107,89.4281,0.919,2.5661,0.971,-0.7437,0.902711
DENIS 161103.60-242642.9,,,242.765,-24.44527777777778,145.0,15,M9,,,,,,14.86,14.14,13.7,,,,,2400,,18.0,,,2004.0,,,242.7650301121,-24.4452602266,0.0096858,0.0059981,85.35,6049856058015342848,242.76497590076,0.3534,-24.44537473268,0.2018,7.2324,0.3785,19.1066,28.055,-11.104,0.612,-25.764,0.383,481,1.2949,621.74,1.358,4.226,95,1.0813,0.0601,14,1.042,false,328.424,0.916859,19.396278,36.1393,5.19674,21.443592,600.359,17.801868,1.938,3.641724,,,0,,,78662427650195929,,121703485,,0.004096,0.156151,0.010925,19.370687,0.004044,336.257,0.365,9.6662,6.0296,0.0801,0.11718
2MASS J10503781-4517010,,J10503781-4517010,162.6575,-45.28361111111111,32.4,2.05,M9,,,,,,14.02,13.34,12.88,,,,,,,,,,2012.0,UNCON,,162.65750597246,-45.28362203083,0.0026074,0.0019975,32.29,5387738200239483136,162.65598883567,0.1113,-45.28309561806,0.1247,29.3305,0.1638,179.0539,267.795,-240.177,0.134,118.445,0.151,516,1.996,784.26,0.904,6.263,95,1.103,0.0344,26,1.062,false,714.968,1.15595,18.55165,42.3722,4.02553,21.27084,1302.03,16.961346,1.88,4.309494,,,0,,,,,412511300,,0.003267,0.103187,0.006999,18.526059,0.003245,732.02,0.217,2.189,2.4489,0.2366,0.042121
WISE J085519.22+060057.6,,,133.83,6.016111111111111,84.9,14.3,M9,,,,,,16.34,15.68,,15.19,14.77,14.24,>11.87,,,,,,2015.0,,,133.83008964026,6.01589530322,0.0036541,0.0017545,100.56,583589783835157376,133.83008964026,3.6066,6.01589530322,1.8502,,,,,,,,,79,4.8047,148.13,8.352,4.13,3,,,6,,false,70.6905,1.36649,21.063965,29.9282,29.6165,21.64834,130.795,19.456419,2.274,2.191921,,,0,,,115211338302119543,,,,0.021168,1.074432,0.247749,21.063965,0.021168,70.6905,0.912,3.6066,1.8502,-0.2774,0.840584
USco J161047.13-223949.4,,,242.69625,-22.66361111111111,145.0,15,M9,,,,,,15.26,14.57,14.01,,,,,2400,,18.0,,,,,,242.69641251291,-22.6637019089,0.0141259,0.0101421,101.05,6242645251461275136,242.69636053896,0.5752,-22.66382086389,0.392,8.077,0.5884,13.7261,28.858,-10.791,0.871,-26.765,0.655,236,0.3315,263.15,0.724,0.3179,95,1.1845,0.126,15,1.014,false,161.865,0.974321,20.164486,27.7094,5.90306,21.731976,303.957,18.540865,2.049,3.191111,,,0,,,80802426963863797,,167508423,,0.007093,0.231317,0.024231,20.138895,0.006952,165.725,0.54,13.9996,10.3157,-0.1259,0.631115
2MASS J04263055+2443558,,J04263055+2443558,66.6275,24.73222222222222,140.0,,M9,,,,,,14.67,13.94,13.4,,,,,,,,,,,,,66.62730572765,24.73217107246,0.0111482,0.0067154,68.74,149409920679460096,66.62733700747,0.4693,24.73207885524,0.2666,8.1096,0.5322,15.237,21.711,6.392,0.665,-20.749,0.471,446,4.7036,635.74,1.916,4.234,95,1.2757,0.0787,16,1.162,false,223.907,1.14249,19.812199,29.4689,7.63415,21.665133,402.721,18.235384,1.93,3.429749,,,0,,,137670666273249077,1237660557597868127,,,0.006187,0.281282,0.028617,19.786608,0.006072,229.247,0.387,10.671,7.4503,0.3366,0.661379
2MASS J10554733+0808427,,J10554733+0808427,163.94708333333332,8.145277777777777,16.6,1.1,M9,,,,,,12.55,,11.37,,,,,,,,,,,UNCON,,163.94725838545,8.14525916701,0.0016961,0.0012811,89.21,3865934633321490048,163.94577942376,0.0962,8.14464500413,0.0706,53.8721,0.1013,531.6335,357.22,-329.409,0.106,-138.187,0.08,212,-2.3608,329.61,0.457,5.57,31,,,15,0.885,false,2800.12,4.20024,17.069426,88.3828,10.2624,20.472624,4887.11,15.525266,1.777,4.947358,,,0,,,117771639463394326,1237658425166201037,,491162018,0.003201,0.126099,0.004365,17.069426,0.003201,2800.12,0.024,1.696,1.2812,0.0078,0.627418
KPNO-Tau 12,,J04190126+2802487,64.75541666666666,28.046944444444446,140.0,,M9,23.23,,,,,16.3,15.48,,14.93,,,,,,,,,,,,64.75534551126,28.04670544296,0.0395634,0.0105528,80.5,164487734085116800,64.75534551126,39.06,28.04670544296,12.2856,,,,,,,,,62,3.7341,105.88,6.702,2.296,3,,,2,,false,69.1413,1.56935,21.088022,59.2017,16.7587,20.907707,91.6292,19.842812,2.181,1.064896,,,0,,,141650647553166691,1237660554913121069,,,0.024797,0.307362,0.284654,21.088022,0.024797,69.1413,0.959,39.06,12.2856,0.493,0.889611
2MASS J12463355-5314188,,J12463355-5314188,191.64,-53.23861111111111,53.6,10.82,M9,,,,,18.09,15.01,14.29,13.85,,,,,,,,,,2012.0,UNCON,,191.63979770049,-53.23856598291,0.0058337,0.0036613,44.01,6075085730995657216,191.63982381626,0.2461,-53.2389818821,0.2271,16.7049,0.4447,37.5626,93.643,3.517,0.297,-93.577,0.305,733,1.7634,971.74,1.366,3.853,95,1.0263,0.0552,20,1.046,false,273.22,0.63405,19.596085,36.7297,3.28809,21.425997,490.756,18.020731,1.931,3.405266,,,0,,,,,330140390,,0.003734,0.097236,0.009848,19.570494,0.003694,279.736,0.391,4.8335,4.9066,0.4346,0.465156
DENIS-P J0427270-112713,,J04272708-1127143,66.86291666666666,-11.453888888888889,27.1,4.7,M9,,,,,16.67,13.74,13.08,,12.67,,,,,,,,,2011.0,,,66.86289496588,-11.45404401085,0.0021368,0.0018159,71.72,3179071025121864064,66.86290601441,0.1147,-11.45514853108,0.0719,23.6546,0.1427,165.8011,248.529,2.436,0.134,-248.517,0.117,515,-2.6614,800.65,0.724,8.235,95,1.0556,0.0252,22,0.917,false,1268.34,2.01712,17.929277,59.3988,5.92825,20.904099,2171.37,16.406061,1.759,4.498037,,,0,,,94250668628784728,,24354914,,0.003252,0.108397,0.006597,17.903686,0.00323,1298.59,0.069,2.1074,1.85,0.0969,0.563664
2MASS J16403197+1231068,,,250.13333333333333,12.518611111111111,,,M9,,,,,,15.95,15.61 >,15.52,,15.03,14.85,,,,,,,,,,250.13310994684,12.51848943168,0.0057629,0.004785,82.76,4460894909288143360,250.13209799167,0.3168,12.51788487881,0.2353,9.8218,0.4152,23.6546,260.595,-222.277,0.358,-136.025,0.301,553,1.6151,680.7,1.39,3.052,95,1.1555,0.0781,21,1.049,false,218.465,0.680057,19.838913,32.264,5.35157,21.566748,361.795,18.351738,1.804,3.21501,,,0,,,123022501324662217,1237665427576456170,,,0.004361,0.180111,0.016474,19.813322,0.0043,223.675,0.291,5.7487,4.8021,0.0467,0.899012
LP 944-20,,J03393521-3525440,54.89666666666667,-35.428888888888885,4.97,0.1,M9,,,,,13.29,10.73,10.02,,9.55,,,,2200,0.85,60.0,,,1998.0,,,54.89688479175,-35.42878944343,0.001088,7.082E-4,154.82,4860376345833699840,54.89857020678,0.0375,-35.42759363988,0.0436,155.5982,0.0522,2980.7097,409.724,309.001,0.05,269.058,0.064,451,-0.0165,2084.06,0.496,43.06,31,,,28,0.999,false,12563.7,10.6167,15.439572,361.036,5.87376,18.944666,22089.8,13.887415,1.787,5.057251,,,0,,,,,17431730,,0.002904,0.017883,0.004253,15.439572,0.002904,12563.7,0.019,0.7906,1.0296,-0.3227,0.733195
