Star Number,RA (Decimal Degrees),DEC (Decimal Degrees),ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
98,304.3975245069863,-5.4958339014425235,304.39480267089,-5.49586478243,0.0069138,0.0044062,68.83,4217336999077504000,304.39482500164,0.3192,-5.49587149517,0.2365,0.809,0.3524,2.2958,5.224,5.001,0.409,-1.51,0.299,245,-0.8947,234.48,0.0,1.3E-15,95,1.2894,0.0764,16,0.958,false,269.172,0.961584,19.612291,35.7629,5.07915,21.45496,345.383,18.402142,1.416,3.052818,,,0,,,101403043948085355,,302156595,,0.004758,0.154225,0.023004,19.5867,0.004684,275.592,-0.073,6.6407,4.8079,0.2994,9.754201
102,141.54584916782184,-30.131560432301136,141.54803549275,-30.13088459736,0.0061464,0.0045382,57.48,5633199906237121152,141.54802340646,0.2562,-30.13087445566,0.2786,0.5179,0.3865,1.3399,3.277,-2.352,0.356,2.282,0.312,356,-0.1131,362.96,0.0,0.0,95,1.3983,0.0809,22,0.995,false,222.237,0.774267,19.820326,70.9961,6.91404,20.710455,204.974,18.96865,1.242,1.741804,,,0,,,71841415480653212,,,,0.00468,0.105772,0.044272,19.815767,0.004667,223.172,-0.059,5.7281,5.056,0.269,7.228987
107,290.543534939646,10.985760684346715,290.54465907336,10.98506948402,0.0043753,0.0031687,48.43,4309637259322052992,290.54466311819,0.2082,10.9851012556,0.2073,3.2229,0.265,12.1626,7.204,0.893,0.246,7.149,0.24,321,0.9872,405.13,0.821,2.55,95,1.1795,0.0501,16,1.039,false,546.03,1.26288,18.844326,91.9492,8.90966,20.429672,723.273,17.59964,1.493,2.830032,,,0,,,121182905446672665,,,505440482,0.003728,0.105242,0.010597,18.821207,0.003693,557.781,0.037,3.8904,3.7481,0.3099,4.687674
112,312.11865820695425,48.28480863425864,312.11849203273,48.28438246107,0.0014314,0.0013014,48.14,2167177176869212160,312.11849203273,1.375,48.28438246107,1.3608,,,,,,,,,72,0.3073,69.93,0.0,0.0,3,,,9,,false,77.4993,1.30434,20.964123,26.9568,3.81897,21.761873,96.7104,19.784212,1.596,1.977661,,,0,,,165943121181671961,,,,0.01848,0.153842,0.164587,20.964123,0.01848,77.4993,0.264,1.375,1.3608,0.0944,1.585026
115,29.084973416061842,78.32195032475818,29.0772187357,78.3199906269,0.0020101,0.0016175,10.38,562056875101727232,29.07716930203,0.0778,78.32000004329,0.0829,0.1844,0.0938,1.9661,3.092,-2.252,0.1,2.119,0.124,335,0.1886,349.14,0.0,0.0,31,,,25,1.006,false,1297.12,1.34638,17.904913,527.082,9.85901,18.533848,1114.83,17.129875,1.266,1.403973,,,0,,,201980290771124869,,,842010242,0.002977,0.020499,0.009582,17.904913,0.002977,1297.12,0.007,1.6317,1.9985,0.0774,9.039225
116,159.23326727829885,73.55214316566526,159.22410070262,73.55260785211,0.0034744,0.0029642,53.89,1078181651953324416,159.22408682569,0.1561,73.55256649706,0.1462,0.686,0.1714,4.0024,9.347,-0.884,0.204,-9.305,0.194,362,-0.3079,363.4,0.0,0.0,31,,,28,0.988,false,430.688,0.887329,19.101961,150.137,7.36664,19.897326,385.623,18.282488,1.244,1.614838,,,0,,,196261592241443913,,,,0.003549,0.053346,0.017124,19.101961,0.003549,430.688,-0.04,3.3061,3.1508,0.1501,9.492061
117,326.0979657207063,77.9385413174069,326.10374869848,77.9375518994,0.0332293,0.0228085,150.99,2283867486923991168,326.10377258853,1.392,77.93754829553,0.8867,-0.4157,1.5118,-0.275,1.385,1.123,1.622,-0.811,1.946,141,1.4074,168.38,3.339,1.963,95,1.4287,0.2773,12,1.084,false,98.6932,1.02364,20.701649,68.4236,17.7544,20.750526,72.7981,20.092596,1.431,0.65793,,,0,,,201523261037765806,,,,0.011593,0.281738,0.160039,20.705153,0.011629,98.3752,0.242,25.6425,31.0946,-0.3106,5.622613
118,244.58592683406786,-75.66634233005229,244.58008177334,-75.66611780996,0.0027945,0.0013337,84.19,5781285125863406976,244.58008177334,2.7834,-75.66611780996,1.3566,,,,,,,,,58,0.6835,59.63,1.626,0.2674,3,,,7,,false,77.0592,1.38672,20.970304,63.0252,9.8598,20.839756,75.1689,20.0578,1.793,0.781956,,,0,,,,,,,0.019732,0.169878,0.062508,20.970304,0.019732,77.0592,0.595,2.7834,1.3566,0.1607,5.271755
119,101.3072578664468,-80.81477405925554,101.29118166177,-80.81497420926,0.008997,0.0079771,153.45,5207557278426817536,101.29121773413,0.3992,-80.81496495035,0.4327,0.5824,0.4405,1.3222,2.453,1.296,0.508,2.083,0.543,302,2.0612,364.28,1.629,1.888,95,1.5213,0.1402,25,1.085,false,179.591,0.826384,20.051653,73.841,7.97543,20.667799,169.196,19.176922,1.353,1.490877,,,0,,,,,,,0.005705,0.117302,0.049003,20.050667,0.005701,179.755,0.084,8.191,8.8027,-0.096,9.266243
120,56.06955975282854,-88.36373907537609,56.05161233249,-88.36176259083,0.0019836,0.0017733,14.67,4611927120712892416,56.05233048676,0.0914,-88.36173026383,0.1032,0.1043,0.1006,1.0363,8.617,4.62,0.112,7.274,0.121,332,-2.1987,284.99,0.0,0.0,31,,,26,0.914,false,1089.41,1.35014,18.094385,523.133,7.0236,18.542011,791.76,17.501411,1.207,1.0406,,,0,,,,,490447067,,0.003066,0.014842,0.012815,18.094385,0.003066,1089.41,-0.014,1.7876,1.9708,0.0549,7.350914
