Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
7248,35.479683,-54.201603999999996,35.47904192815,-54.2015185509,0.0034108,0.0030413,131.3,4743186479533542784,35.47988338067,0.1642,-54.20161593424,0.1702,26.4578,0.1951,135.605,112.891,110.744,0.203,-21.911,0.201,397,1.3948,677.75,1.387,8.577,95,0.9928,0.0478,29,1.049,false,596.098,1.14357,18.749073,40.8255,7.06349,21.311213,1119.44,17.12539,1.946,4.185823,,,0,,,,,503573340,,0.003454,0.187871,0.008094,18.723482,0.003425,610.315,0.301,3.255,3.2075,-0.1132,1.384554
7290,47.4486,-53.094564999999996,47.44870371545,-53.09452237343,0.0037048,0.0026076,9.58,4735279028130382592,47.44870371545,2.6441,-53.09452237343,3.6788,,,,,,,,,39,1.5442,47.55,4.945,1.812,3,,,5,,false,69.9075,2.13359,21.076057,43.7375,21.9047,21.236408,144.41,19.3489,2.691,1.887508,,,0,,,,,504208461,,0.033251,0.543768,0.061267,21.076057,0.033251,69.9075,1.372,2.6441,3.6788,0.1169,0.271697
7330,332.7912,-50.628253,332.79094145826,-50.6282520398,0.0137306,0.0117858,91.79,6511498728037356672,332.79127219211,0.5063,-50.62828638958,0.4983,10.286,0.7649,13.4475,47.834,47.205,0.86,-7.729,0.726,405,7.1003,692.57,3.846,7.446,95,0.9006,0.1478,20,1.261,false,124.104,0.733356,20.452898,41.9788,4.9177,21.280966,240.64,18.794474,2.277,2.486492,,,0,,,,,488987368,,0.006982,0.127222,0.029333,20.435479,0.006889,126.112,0.873,13.7289,11.7878,-0.0096,0.590431
7381,37.66953,-63.433997999999995,37.66869310791,-63.43438081053,0.0080362,0.0074725,68.35,4700303911142460032,37.66967328189,0.3479,-63.43396787961,0.3327,17.3696,0.3777,45.9919,135.5,98.63,0.491,92.91,0.472,295,2.7509,426.02,1.998,4.322,95,1.0738,0.0951,24,1.115,false,270.778,1.09034,19.605835,27.4683,4.11063,21.741465,476.934,18.051748,1.863,3.689716,,,0,,,,,499688868,,0.005168,0.162505,0.018277,19.580244,0.005082,277.236,0.283,7.9619,7.5517,0.0499,1.927359
7413,25.330102,-53.166089,25.33002823771,-53.16574583833,0.0181394,0.0098237,156.94,4912841776536019328,25.33021068943,0.6103,-53.16612417852,0.7141,16.6011,0.9745,17.036,88.613,24.611,0.721,-85.127,1.076,267,2.1631,363.69,2.822,2.177,95,1.0694,0.2113,21,1.095,false,108.677,0.826105,20.59702,43.0875,6.08868,21.252665,202.298,18.982914,2.258,2.269751,,,0,,,,,503641800,,0.008701,0.153451,0.054511,20.583446,0.008604,110.045,0.885,11.4968,17.128,-0.4256,1.245597
7453,324.95789,-45.064589999999995,324.95709650816,-45.06428248775,0.0232705,0.0159415,17.72,6565458296257985152,324.95797903064,0.9444,-45.0646459746,0.9981,19.06,1.2962,14.704,162.354,140.251,1.051,-81.784,1.382,271,4.8795,407.44,3.682,3.33,95,0.981,0.2225,17,1.218,false,89.8032,0.728075,20.804138,21.5168,4.37301,22.0066,145.754,19.338842,1.863,2.667757,,,0,,,,,488402519,,0.009224,0.220679,0.076813,20.78362,0.009067,91.5164,0.431,16.7556,22.6914,0.2191,2.301384
7482,32.887585,-49.846156,32.88733930993,-49.84613638426,0.0111911,0.0083373,154.06,4937816770842226432,32.88766722201,0.4252,-49.84617271758,0.5509,11.114,0.5998,18.5291,48.274,47.577,0.556,-8.175,0.674,393,3.3244,546.0,2.823,3.433,95,1.0177,0.1386,29,1.121,false,138.924,1.88491,20.330427,52.0833,8.0805,21.046795,220.768,18.888056,1.964,2.158739,,,0,,,,,503732824,,0.014987,0.16847,0.030268,20.318831,0.014833,140.415,0.607,8.9539,10.7041,-0.2287,0.574708
7500,349.888269,-60.734434,349.88799471208,-60.73439443579,0.0092124,0.0072122,158.23,6490416073611032704,349.88838807522,0.3737,-60.73446032993,0.4472,15.6845,0.5516,28.4339,45.737,43.267,0.472,-14.826,0.555,383,3.8892,527.42,2.333,3.715,95,1.3508,0.1245,27,1.144,false,148.726,0.716039,20.256401,29.7785,3.96352,21.653784,267.662,18.67893,2.0,2.974854,,,0,,,,,489283040,,0.005909,0.144539,0.031495,20.231157,0.005803,152.224,0.523,7.5189,8.9638,-0.1679,0.503291
7535,19.706357999999998,-53.566599,19.70637685833,-53.56665575176,0.0181151,0.0023524,170.07,4915171779113289216,19.70637685833,3.89,-53.56665575176,17.8482,,,,,,,,,34,0.9835,36.37,4.212,0.9545,3,,,5,,false,62.8383,2.30816,21.191805,44.7884,7.53698,21.210629,145.66,19.339548,3.031,1.87108,,,0,,,,,503403003,,0.039976,0.182729,0.285924,21.191805,0.039976,62.8383,1.713,3.89,17.8482,-0.7895,0.208247
7607,31.827954,-51.495107999999995,31.82729987142,-51.49527466193,0.0035956,0.0031214,156.71,4936820712091851264,31.82812362499,0.1729,-51.49508643006,0.1881,20.9769,0.2325,90.2427,122.919,115.392,0.201,42.353,0.223,339,0.5576,501.93,1.072,4.365,95,1.0149,0.051,25,1.021,false,510.168,1.1365,18.918083,35.8795,4.51252,21.451427,923.621,17.334162,1.881,4.117266,,,0,,,,,503695215,,0.003666,0.13658,0.00974,18.892492,0.003629,522.336,0.245,3.2002,3.5256,-0.1025,1.58411
7612,351.210945,-58.298859,351.2111401696,-58.29871899203,0.0119417,0.009385,142.65,6492543937848408192,351.21102833543,0.4579,-58.29889394043,0.5153,31.809,0.7101,44.7939,41.525,-13.223,0.643,-39.363,0.684,366,1.8117,450.52,1.574,0.9764,95,1.0163,0.1576,25,1.067,false,108.725,0.618348,20.59654,34.9992,6.48215,21.478395,186.572,19.07078,2.038,2.407616,,,0,,,,,489368730,,0.006762,0.201107,0.03898,20.58051,0.006679,110.342,0.645,10.3995,11.0695,-0.2284,0.624791
7637,27.842684,-45.881054999999996,27.84213999773,-45.88146164596,0.013909,0.010569,167.45,4954600369165551744,27.84279486252,0.5568,-45.8810275708,0.5922,22.5872,0.757,29.8371,141.634,102.573,0.679,97.667,0.872,320,4.0923,497.41,2.675,2.898,95,1.0844,0.1858,24,1.167,false,106.57,0.684873,20.618284,20.0548,4.13515,22.082994,193.223,19.032747,2.001,3.050247,,,0,,,,,,,0.007502,0.223888,0.043109,20.592693,0.007351,109.111,0.513,10.7502,13.7695,-0.1172,2.000444
7675,341.500712,-44.272686,341.50079885444,-44.27271536752,0.0023942,9.685E-4,25.44,6543811691150155008,341.50079885444,1.3502,-44.27271536752,2.2017,,,,,,,,,122,1.7087,144.36,0.756,0.05336,3,,,9,,false,74.9811,1.17559,20.999987,23.9826,6.39951,21.888802,137.933,19.398726,2.159,2.490076,,,0,,,,,,,0.017244,0.289731,0.055394,20.999987,0.017244,74.9811,0.754,1.3502,2.2017,0.6257,0.247591
7737,27.88205,-3.649286,27.88172660281,-3.64932063989,0.0216722,0.0121261,91.92,2504328325729163392,27.88211645362,0.69,-3.64931725228,0.5189,13.6769,0.8376,16.3281,87.542,87.539,1.332,0.762,0.745,437,2.7582,576.06,2.362,3.805,95,1.2175,0.1609,16,1.095,false,130.615,0.710036,20.397385,44.3861,8.42389,21.220425,239.044,18.8017,2.17,2.418724,,,0,,,103620278819771256,1237679324468872064,,,0.006514,0.206077,0.046301,20.381159,0.006434,132.582,0.775,21.6638,12.1411,-0.0412,1.168542
7749,319.23166200000003,-1.9141389999999998,319.23144470011,-1.91409530902,0.0292383,0.0226427,93.25,2685726509994004224,319.23171367155,1.2119,-1.91418724079,0.981,20.6751,1.3373,15.4601,63.924,60.485,1.795,-20.685,1.377,168,3.4235,241.19,3.341,2.162,95,1.3894,0.2841,12,1.194,false,106.299,0.978651,20.621044,40.7307,5.58851,21.313736,168.983,19.17829,1.973,2.135447,,,0,,,105703192315973485,1237678880465946285,4861190,,0.010369,0.148996,0.084923,20.609861,0.01027,107.399,0.619,29.2195,22.667,-0.0292,0.797507
