Star Number,RA,Dec,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,astrometric_n_good_obs_al,astrometric_gof_al,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_params_solved,pseudocolour,pseudocolour_error,visibility_periods_used,ruwe,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_mag,phot_bp_rp_excess_factor,bp_rp,dr2_radial_velocity,dr2_radial_velocity_error,dr2_rv_nb_transits,dr2_rv_template_teff,dr2_rv_template_logg,panstarrs1,sdssdr13,skymapper2,urat1,phot_g_mean_mag_error,phot_bp_mean_mag_error,phot_rp_mean_mag_error,phot_g_mean_mag_corrected,phot_g_mean_mag_error_corrected,phot_g_mean_flux_corrected,phot_bp_rp_excess_factor_corrected,ra_epoch2000_error,dec_epoch2000_error,ra_dec_epoch2000_corr,angDist
15595,347.132186,-58.552129,347.13221597088,-58.55180544377,0.0114038,0.0072968,164.55,6493076994829488768,347.13228675905,0.3771,-58.55221206,0.4867,5.2196,0.6166,8.4654,91.865,8.31,0.48,-91.489,0.698,407,0.5627,474.93,1.012,0.5245,95,1.1745,0.1275,26,1.019,false,113.655,0.853699,20.548393,31.1688,5.24101,21.60424,196.751,19.013102,2.005,2.591139,,,0,,,,,489246263,,0.008608,0.182587,0.040204,20.529165,0.008473,115.686,0.585,7.6611,11.1623,-0.2306,1.166162
15596,319.990129,-0.789814,319.99004330401,-0.78968650451,0.0080643,0.0050655,91.52,2686250118046700416,319.99014055905,0.3685,-0.78987258183,0.3049,10.6305,0.3831,27.7513,47.24,21.88,0.492,-41.867,0.301,417,1.1606,519.54,1.133,3.407,95,1.1455,0.0605,14,1.04,false,351.415,0.860146,19.322817,26.6764,3.26903,21.773226,581.942,17.835697,1.732,3.937529,,,0,,,107053199901212663,1237663456703939214,4909342,,0.003828,0.13308,0.013444,19.297226,0.003785,359.796,0.12,8.0626,5.0682,-0.0255,0.553013
15624,330.815178,-40.599855,330.81519765587,-40.59990795444,0.0056491,0.0035966,105.64,6573355568588756224,330.81519765587,5.5257,-40.59990795444,3.7835,,,,,,,,,103,4.1312,167.01,11.329,4.094,3,,,5,,false,71.9292,1.85203,21.045105,67.08,21.127,20.772058,114.654,19.599426,2.527,1.172632,,,0,,,,,,,0.028091,0.341966,0.055312,21.045105,0.028091,71.9292,1.293,5.5257,3.7835,-0.2356,0.198062
15630,50.007642999999995,-59.037943,50.00775108947,-59.03812439847,0.0311755,0.0136618,0.57,4723934335873802624,50.00773021408,0.6872,-59.03790895136,0.9215,5.173,0.8887,5.821,48.536,-2.416,0.857,48.476,1.965,203,5.5462,345.63,4.169,4.753,95,0.9884,0.2469,19,1.29,false,99.0286,0.879725,20.697966,44.1026,11.3046,21.227383,199.985,18.9954,2.465,2.231983,,,0,,,,,499835781,,0.010031,0.278315,0.04652,20.685066,0.009922,100.212,1.097,13.6647,31.1743,0.0184,0.68303
15635,353.63884,-44.540209,353.63886768771,-44.54023273933,0.045197,0.0047781,112.98,6534749864206036224,353.63886768771,41.6509,-44.54023273933,18.188,,,,,,,,,42,3.5922,76.22,10.136,1.84,3,,,5,,false,59.173,1.71714,21.257057,44.2881,7.86099,21.222824,96.4961,19.786621,2.379,1.436203,,,0,,,,,,,0.031627,0.192735,0.048984,21.257057,0.031627,59.173,1.117,41.6509,18.188,-0.9585,0.111135
15654,337.896641,-58.919745,337.89675961463,-58.91970310053,0.0407848,0.0160777,141.66,6408256304176062336,337.89670181651,1.0268,-58.91977607806,1.1571,1.8864,1.8894,0.9985,17.739,-6.713,1.728,-16.42,2.075,298,3.2947,387.57,4.026,3.757,95,0.6098,0.2397,12,1.138,false,83.5038,0.872172,20.8831,52.7806,10.9094,21.032356,138.604,19.39346,2.292,1.638897,,,0,,,,,,,0.01167,0.224431,0.063571,20.880089,0.01164,83.7357,1.005,28.2673,33.509,-0.7216,0.267107
15676,308.462856,-51.257844999999996,308.46283998556,-51.25766069376,0.0238386,0.0158696,29.03,6474859805144819456,308.4628692603,0.6793,-51.2579102778,0.7479,5.5033,1.0069,5.4654,56.308,4.122,1.133,-56.156,1.402,225,2.4184,317.69,3.056,2.758,95,1.1735,0.211,15,1.116,false,109.111,0.873293,20.592697,48.7571,9.27811,21.118446,186.779,19.069576,2.159,2.04887,,,0,,,,,,,0.009116,0.206626,0.041494,20.583036,0.009043,110.086,0.817,18.0649,22.2212,0.3344,0.664483
15699,11.994042,-58.713252,11.9939111074,-58.71326058796,0.0351332,0.029601,19.1,4906924681695378816,11.99415031561,1.4554,-58.71326286411,1.5497,5.8057,1.8572,3.1261,27.956,27.951,1.871,-0.512,2.205,132,13.2425,483.24,6.097,23.3,95,1.3669,0.4136,14,1.938,false,81.9689,1.07144,20.903244,31.7984,6.74601,21.58253,145.846,19.338156,2.167,2.244373,,,0,,,,,503128764,,0.014457,0.230355,0.088431,20.890123,0.01429,82.9655,0.798,30.2415,34.5833,0.1059,0.246656
15726,339.927505,-63.378018999999995,339.92695634029,-63.37802415126,0.0239025,0.0193202,106.68,6406370950972346880,339.92760853776,0.8498,-63.37804308594,0.9424,9.5715,1.2432,7.6989,65.894,65.756,1.487,-4.26,1.226,167,2.3851,212.49,3.177,1.879,95,0.8219,0.2887,16,1.134,false,84.8306,0.878148,20.865986,32.0873,12.058,21.572708,139.074,19.38978,2.018,2.182928,,,0,,,,,,,0.011572,0.408016,0.07455,20.85396,0.011452,85.7754,0.657,23.5585,19.7382,-0.1171,0.885274
15746,334.917415,-48.359103999999995,334.91731348144,-48.3591563991,0.0152515,0.0122024,92.3,6518189221931614208,334.91747116071,0.7268,-48.35912381494,0.542,7.0838,0.8562,8.2733,24.687,23.574,0.965,7.331,0.756,250,3.4712,341.79,1.995,1.14,95,1.3233,0.2078,22,1.16,false,115.03,0.800937,20.535341,39.6675,8.54554,21.342455,203.089,18.97868,2.11,2.363775,,,0,,,,,,,0.008046,0.233916,0.036696,20.52009,0.007947,116.657,0.724,15.2471,12.2079,-0.018,0.307496
15800,3.9914669999999997,-4.419245,3.9913664258,-4.41917715367,0.012254,0.0068945,88.05,2444213317754168960,3.99150704582,0.5301,-4.41930934829,0.3427,11.0595,0.5535,19.9814,43.357,31.545,0.767,-29.744,0.43,225,6.1463,468.41,2.818,11.51,95,1.0448,0.1098,15,1.306,false,342.495,4.39241,19.350733,67.6233,23.0544,20.7633,681.543,17.664162,2.187,3.099138,,,0,,,102690039914197321,1237679323921580183,13151272,,0.014194,0.370164,0.015228,19.325142,0.013876,350.663,0.692,12.2491,6.9031,0.0412,0.435856
15802,356.901602,-50.749631,356.90149711162,-50.74951515835,0.0134696,0.0102917,175.44,6522190310386465792,356.9016981085,0.4489,-50.74966687748,0.6186,5.8829,0.8399,7.0041,44.543,28.614,0.652,-34.137,0.835,540,3.9756,783.35,3.61,5.078,95,1.1318,0.1547,23,1.123,false,109.515,0.575902,20.588688,26.6883,4.68459,21.77274,189.226,19.055443,1.972,2.717297,,,0,,,,,490294220,,0.00634,0.190599,0.033949,20.567355,0.00624,111.688,0.533,10.3149,13.4518,-0.0432,0.480617
15807,24.773282,0.32839199999999996,24.77303184698,0.32853145246,0.0200424,0.0115895,72.15,2509892889652828032,24.77333826291,0.8076,0.32834625894,0.5507,6.0519,0.9982,6.0627,80.556,68.942,1.217,-41.669,0.779,249,2.5935,330.23,2.212,2.373,95,0.9061,0.1899,14,1.118,false,123.548,0.765815,20.457773,25.4629,3.8322,21.823772,194.539,19.02538,1.781,2.798393,,,0,,,108390247732184520,1237657071157969887,16872127,,0.007272,0.163429,0.049372,20.435145,0.007144,126.15,0.33,19.4055,12.6271,0.3184,1.031018
15839,331.583592,-41.724928,331.58361461401,-41.72497622068,0.0071701,0.0028149,36.96,6571517807917521280,331.58361461401,4.863,-41.72497622068,5.9738,,,,,,,,,43,3.6019,77.76,8.051,3.361,3,,,5,,false,62.9307,1.61429,21.190212,,,,113.887,19.606707,,,,,0,,,,,,,0.027987,,0.236823,21.190212,0.027987,62.9307,,4.863,5.9738,0.7192,0.183921
15874,28.214555999999998,-40.062295999999996,28.21368569879,-40.06245273052,0.0040367,0.0034887,150.49,4961139813354594560,28.21469589776,0.1864,-40.06230931883,0.2078,12.4168,0.2926,42.4388,176.926,173.959,0.226,32.269,0.247,560,2.7728,822.38,1.483,4.85,95,0.9881,0.057,29,1.084,false,303.414,0.743133,19.482279,37.6168,5.567,21.40009,517.385,17.96336,1.829,3.436729,,,0,,,,,10442429,,0.003829,0.160705,0.013811,19.456688,0.003787,310.65,0.285,3.6293,3.9108,-0.1246,2.463376
